VERB,TEMPLATE,LIST
bruire,brui:re,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past']"
dissoudre,disso:udre,['imperative_past']
faillir,fa:illir,['imperative_past']
férir,fér:ir,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past','infinitive_past','gerund_past']"
forclore,forclo:re,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past']"
foutre,fou:tre,"['indicative_antérieur-past','subjunctive_pluperfect']"
huir,#N/A,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past']"
poindre,poi:ndre,"['indicative_antérieur-past','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past']"
rassir,fin:ir,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past']"
revaloir,va:loir,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past']"
seoir,s:eoir,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past','infinitive_past','gerund_past']"
se contrefoutre,fou:tre,"['indicative_antérieur-past','subjunctive_past','imperative_past']"
se dissoudre,disso:udre,['imperative_past']
se distraire,extra:ire,['imperative_past']
s'ensuivre,sui:vre,['imperative_past']
se foutre,fou:tre,"['indicative_antérieur-past','subjunctive_pluperfect','imperative_past']"
se mourir,m:ourir,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','indicative_antérieur-future','subjunctive_past','subjunctive_pluperfect','conditional_past-first','conditional_past-second','imperative_past','infinitive_past','gerund_past']"
se rassir,fin:ir,"['indicative_composé-past','indicative_antérieur-past','indicative_pluperfect','subjunctive_past','subjunctive_pluperfect','imperative_past']"
se redissoudre,disso:udre,['imperative_past']
falloir,fa:lloir,"['imperative_past','infinitive_past','gerund_past']"
pouvoir,p:ouvoir,"['imperative_past','gerund_past']"
advenir,adv:enir,"['imperative_past','infinitive_past','gerund_past']"
s'agir,ag:ir,"['imperative_past','gerund_past']"
barder,aim:er,"['imperative_past','gerund_past']"
boumer,aim:er,"['imperative_past','gerund_past']"
brouillasser,aim:er,"['imperative_past','gerund_past']"
bruiner,aim:er,"['imperative_past','gerund_past']"
brumer,aim:er,"['imperative_past','gerund_past']"
brumasser,brumass:er,"['imperative_past','gerund_past']"
crachiner,aim:er,"['imperative_past','gerund_past']"
dracher,aim:er,"['imperative_past','gerund_past']"
falloir,fa:lloir,"['imperative_past','infinitive_past','gerund_past']"
s'en falloir,fa:lloir,"['imperative_past','infinitive_past','gerund_past']"
flotter,aim:er,"['imperative_past','gerund_past']"
glacer,pla:cer,"['imperative_past','gerund_past']"
gouttiner,aim:er,"['imperative_past','gerund_past']"
grêler,aim:er,"['imperative_past','gerund_past']"
grésiller,aim:er,"['imperative_past','gerund_past']"
neiger,man:ger,"['imperative_past','gerund_past']"
neigeoter,aim:er,"['imperative_past','gerund_past']"
se pouvoir,p:ouvoir,"['imperative_past','gerund_past']"
pleuvoir,pl:euvoir,"['imperative_past','gerund_past']"
pleuvasser,aim:er,"['imperative_past','gerund_past']"
pleuviner,aim:er,"['imperative_past','gerund_past']"
pleuvioter,aim:er,"['imperative_past','gerund_past']"
pleuvoter,aim:er,"['imperative_past','gerund_past']"
pluviner,aim:er,"['imperative_past','gerund_past']"
reneiger,man:ger,"['imperative_past','gerund_past']"
repleuvoir,pl:euvoir,"['imperative_past','gerund_past']"
urger,man:ger,"['imperative_past','gerund_past']"
vaser,aim:er,"['imperative_past','gerund_past']"
venter,aim:er,"['imperative_past','gerund_past']"
verglacer,pla:cer,"['imperative_past','gerund_past']"
