VERB,EMPLOI,IDX,Verbe freq.
abaisser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
abandonner,Fréquent - Transitif - Autorise la forme pronominale,25,3529
abasourdir,Transitif,49,#N/A
abattre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
abêtir,Transitif - Autorise la forme pronominale,50,#N/A
abhorrer,Transitif,49,55
abîmer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
abolir,Transitif,49,#N/A
abonder,Intransitif,29,#N/A
abonner,Transitif - Autorise la forme pronominale,50,#N/A
aborder,Fréquent - Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,23,#N/A
aboutir,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,#N/A
aboyer,Fréquent - Intransitif,6,307
abréger,Transitif,49,#N/A
abreuver,Transitif - Autorise la forme pronominale,50,#N/A
abriter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
abrutir,Transitif - Autorise la forme pronominale,50,#N/A
s'absenter,Autorise la forme pronominale,0,#N/A
absoudre,Transitif,49,147
s'abstenir,Autorise la forme pronominale,0,#N/A
abstraire,Transitif - Autorise la forme pronominale,50,#N/A
abuser,Fréquent - Transitif - Autorise la forme pronominale,25,627
accabler,Fréquent - Transitif,24,715
accaparer,Transitif,49,140
accéder,Intransitif,29,#N/A
accélérer,Transitif - Autorise la forme pronominale,50,231
accentuer,Transitif - Autorise la forme pronominale,50,#N/A
accepter,Fréquent - Transitif,24,5449
accoler,Transitif,49,#N/A
accommoder,Transitif - Autorise la forme pronominale,50,#N/A
accompagner,Fréquent - Transitif - Autorise la forme pronominale,25,2866
accomplir,Fréquent - Transitif - Autorise la forme pronominale,25,2100
accorder,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
accoucher,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,#N/A
accourir,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,#N/A
accrocher,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,988
accroire,Transitif - Défectif,55,#N/A
accroître,Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,52,#N/A
s'accroupir,Autorise la forme pronominale,0,#N/A
accueillir,Transitif,49,1325
accumuler,Transitif - Autorise la forme pronominale,50,#N/A
accuser,Fréquent - Transitif - Autorise la forme pronominale,25,2016
acharner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
acheminer,Transitif - Autorise la forme pronominale,50,#N/A
acheter,Fréquent - Transitif,24,2646
achever,Fréquent - Transitif - Autorise la forme pronominale,25,3827
aciérer,Transitif,49,#N/A
aciseler,Transitif,49,#N/A
acquérir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
acquiescer,Intransitif,29,#N/A
acquitter,Transitif - Autorise la forme pronominale,50,#N/A
acter,Transitif,49,#N/A
activer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
