Can be s'en,Can't be passive,Can't be feminins,Pronominal only,Can be pronominal,Have 2 forms of conjougation
absenter,abonder,advenir,absenter,abaisser,abréger
abstenir,aboutir,brumer,abstenir,abandonner,absoudre
accroupir,aboyer,dégeler,accroupir,abattre,accéder
adonner,s'absenter,s'ensuivre,adonner,abêtir,accélérer
agenouiller,s'abstenir,falloir,agenouiller,abîmer,aciérer
aller,accéder,flotter,amuïr,abonner,aciseler
amuïr,accourir,grêler,apparenter,abreuver,adhérer
apparenter,s'accroupir,incomber,autosuggestionner,abriter,aérer
autosuggestionner,acquiescer,neiger,avérer,abrutir,afférer
avérer,adhérer,pleuvoir,blottir,abstraire,agréger
blottir,adire,raire,dédire,abuser,aliéner
dédire,s'adonner,repleuvoir,démener,accélérer,allécher
démener,advenir,résulter,dénuer,accentuer,alléger
dénuer,afférer,stupéfaire,désister,accommoder,alléguer
désister,s'agenouiller,tonner,ébattre,accompagner,altérer
ébattre,agir,urger,écrier,accomplir,amonceler
écrier,airer,vaser,efforcer,accorder,asseoir
efforcer,aller,venter,emboire,accrocher,assiéger
emboire,alunir,,emparer,accroître,atteler
emparer,amerrir,,empresser,accumuler,s'avérer
empresser,s'amuïr,,enfuir,accuser,balayer
enfuir,apparaître,,enorgueillir,acharner,bayer
enorgueillir,s'apparenter,,enquérir,acheminer,bégayer
enquérir,apparoir,,ensuivre,achever,brayer
ensuivre,appartenir,,entre-haïr,acquérir,breveter
entre-haïr,arriver,,envoler,acquitter,budgéter
envoler,atterrir,,éprendre,activer,cacheter
éprendre,s'autosuggestionner,,évader,adapter,capeler
évader,s'avérer,,évanouir,additionner,caqueter
évanouir,barrir,,exclamer,adire,carreler
exclamer,bavarder,,extasier,adjoindre,céder
extasier,baver,,failler,administrer,célébrer
failler,bayer,,fier,adoucir,chanceler
falloir,béer,,gourer,adresser,choir
fier,bénéficier,,immiscer,aérer,complaire
gourer,besogner,,lamenter,affaiblir,compléter
immiscer,bienvenir,,marrer,affermir,concéder
lamenter,se blottir,,méfier,afficher,conférer
marrer,bondir,,méprendre,affiner,considérer
méfier,braire,,morfondre,affirmer,coopérer
méprendre,briller,,poiler,affliger,corréler
morfondre,bruire,,réfugier,affoler,courbaturer
poiler,brumer,,repentir,affranchir,croître
réfugier,caner,,soucier,affronter,déblatérer
repentir,caqueter,,souvenir,agacer,déblayer
soucier,caracoler,,suicider,aggraver,décéder
souvenir,chaloir,,tapir,agir,déchiqueter
suicider,chanceler,,,agiter,déchoir
tapir,cherrer,,,agrandir,défrayer
venir,chialer,,,agréger,dégénérer
,choir,,,agripper,délayer
,circuler,,,aguerrir,déléguer
,clignoter,,,aider,déplaire
,coïncider,,,aiguiser,désespérer
,collaborer,,,aimer,différer
,commercer,,,ajouter,digérer
,comparaître,,,aliéner,dissoudre
,compatir,,,aligner,écher
,complaire,,,alimenter,échoir
,consister,,,aliter,effrayer
,contrevenir,,,allier,égayer
,contribuer,,,allonger,embrayer
,coopérer,,,allumer,empiéter
,correspondre,,,alourdir,enrayer
,cotiser,,,altérer,ensorceler
,couiner,,,amasser,énumérer
,courre,,,améliorer,épeler
,croupir,,,amener,épousseter
,déblatérer,,,amenuiser,espérer
,décéder,,,amonceler,essayer
,déchoir,,,amorcer,étayer
,déconner,,,amortir,étinceler
,décroître,,,amplifier,étiqueter
,se dédire,,,amuser,exagérer
,défaillir,,,analyser,excéder
,dégénérer,,,anéantir,exécrer
,déjeuner,,,animer,faillir
,se démener,,,annoncer,feuilleter
,demeurer,,,annuler,ficeler
,démordre,,,apaiser,ficher
,se dénuer,,,apercevoir,frayer
,dépérir,,,apitoyer,générer
,déplaire,,,aplanir,gérer
,déraper,,,aplatir,gésir
,déroger,,,appartenir,harceler
,se désister,,,appauvrir,héler
,désobéir,,,appeler,imprégner
,détaler,,,applaudir,téter
,devenir,,,appliquer,inquiéter
,dialoguer,,,apprendre,insérer
,dîner,,,apprêter,intégrer
,disconvenir,,,approcher,interférer
,discourir,,,approfondir,interpréter
,disparaître,,,approprier,layer
,diverger,,,approvisionner,lécher
,divorcer,,,appuyer,léguer
,dormir,,,arracher,léser
,durer,,,arranger,libérer
,s'ébattre,,,arrêter,métrer
,échapper,,,arrondir,modérer
,échoir,,,assagir,monnayer
,éclore,,,assembler,mouvoir
,s'écrier,,,asseoir,niveler
,s'efforcer,,,asservir,obséder
,émaner,,,assimiler,obtempérer
,s'emboire,,,associer,opérer
,émerger,,,assombrir,ouïr
,s'emparer,,,assortir,pagayer
,empiéter,,,assoupir,paramétrer
,s'empresser,,,assouplir,payer
,s'enfuir,,,assouvir,pelleter
,s'enorgueillir,,,assujettir,pénétrer
,s'enquérir,,,assumer,persévérer
,enquêter,,,assurer,piéger
,s'ensuivre,,,astreindre,plaire
,s'entre-haïr,,,attacher,pleuvoir
,s'envoler,,,attaquer,posséder
,s'éprendre,,,attarder,pouvoir
,équivaloir,,,atteler,précéder
,errer,,,attendre,préférer
,ester,,,attendrir,procéder
,éternuer,,,atténuer,protéger
,étinceler,,,attraper,rasseoir
,être,,,attribuer,rayer
,s'évader,,,augmenter,récupérer
,s'évanouir,,,autoriser,redevoir
,évoluer,,,avancer,réessayer
,exceller,,,aventurer,référer
,s'exclamer,,,aviser,refléter
,exister,,,avouer,régler
,exploser,,,ébahir,régner
,s'extasier,,,échapper,réitérer
,faiblir,,,échouer,relayer
,se failler,,,éclaircir,rémunérer
,faillir,,,éclairer,renouveler
,falloir,,,éclater,repérer
,fauter,,,écouler,repleuvoir
,se fier,,,écouter,ressayer
,flamboyer,,,écraser,ressortir
,flâner,,,écrire,révéler
,flûter,,,effacer,revouloir
,foirer,,,effectuer,rouspéter
,fonctionner,,,effondrer,ruisseler
,fouir,,,effrayer,saillir
,fraîchir,,,égarer,sécher
,frémir,,,égayer,siéger
,fureter,,,égoutter,succéder
,fuser,,,égrainer,suggérer
,gaspiller,,,égrener,tolérer
,geindre,,,élaborer,transférer
,gésir,,,élancer,vénérer
,gîter,,,élargir,voleter
,glander,,,élever,vouloir
,se gourer,,,éloigner,zézayer
,grasseyer,,,emballer,
,graver,,,embarquer,
,grêler,,,embarrasser,
,grogner,,,embaucher,
,habler,,,embellir,
,haleter,,,embêter,
,hennir,,,embraser,
,hésiter,,,embrasser,
,huir,,,émouvoir,
,s'immiscer,,,empêcher,
,incomber,,,emplir,
,influer,,,employer,
,insister,,,emporter,
,interférer,,,empreindre,
,intervenir,,,énerver,
,irriter,,,énoncer,
,issir,,,épaissir,
,jaillir,,,épandre,
,japper,,,épanouir,
,jaser,,,épargner,
,jeûner,,,épeler,
,jouir,,,éprouver,
,koter,,,épuiser,
,se lamenter,,,équiper,
,languir,,,essayer,
,louvoyer,,,essouffler,
,luire,,,essuyer,
,lutter,,,estimer,
,marcher,,,établir,
,se marrer,,,étaler,
,médire,,,étayer,
,se méfier,,,éteindre,
,mentir,,,étendre,
,se méprendre,,,étirer,
,messeoir,,,étoffer,
,miauler,,,étonner,
,migrer,,,étouffer,
,mincir,,,étourdir,
,moisir,,,étreindre,
,se morfondre,,,étudier,
,mourir,,,éveiller,
,mouver,,,exagérer,
,muser,,,examiner,
,naître,,,exciter,
,naviguer,,,exclure,
,neiger,,,excuser,
,nuire,,,exécuter,
,obéir,,,exercer,
,obtempérer,,,expliquer,
,occire,,,exposer,
,œuvrer,,,exprimer,
,officier,,,extraire,
,opter,,,habiller,
,osciller,,,habituer,
,pagayer,,,honorer,
,pager,,,humilier,
