;'<b>'
VERB;'</b> — '
is_defective;'дефективный '
is_impersonal;'дефективный безличный '
book;'«книжный» (редко употребляемый в устной речи) '
;'глагол <b><group_no>-й группы</b>'
aspirate_h;'с h придыхательной в первой букве'
is_frequent;'частоупотребимый'
is_intransitive and not is_transitive;'непереходный'
is_transitive and not is_intransitive;'переходный'
is_intransitive and is_transitive;'может быть как переходным, так и непереходным'
conjugated_with_avoir and not conjugated_with_etre;'в составных временах спрягается со вспомогательным глаголом <b>avoir</b>'
conjugated_with_etre and not conjugated_with_avoir;'в составных временах спрягается со вспомогательным глаголом <b>être</b>'
conjugated_with_avoir and conjugated_with_etre;'в составных временах спрягается как со вспомогательным глаголом <b>être</b>, так и с глаголом <b>avoir</b> — в зависимости от наличия прямого дополнения'
is_pronominal;'имеет возвратную форму'
belgium;'имеет локальное хождение в Бельгии'
africa;'имеет локальное хождение в африканских странах'
is_rare;'крайне редко употребим'
is_archaique;'устаревший'
is_slang;'используется, как слэнг'
