Группа,Прямая форма,Возвратная форма
I,aérer,s'aérer
I,abaisser,s'abaisser
I,abandonner,s'abandonner
I,abcéder,s'abcéder
I,abîmer,s'abîmer
I,ablater,s'ablater
I,abonner,s'abonner
I,aborder,s'aborder
I,aboucher,s'aboucher
I,abouler,s'abouler
I,abréger,s'abréger
I,abraser,s'abraser
I,abreuver,s'abreuver
I,abriter,s'abriter
I,absenter,s'absenter
I,absorber,s'absorber
I,abuser,s'abuser
I,acagnarder,s'acagnarder
I,accagnarder,s'accagnarder
I,accélérer,s'accélérer
I,accentuer,s'accentuer
I,accepter,s'accepter
I,acclimater,s'acclimater
I,accointer,s'accointer
I,accoler,s'accoler
I,accommoder,s'accommoder
I,accompagner,s'accompagner
I,accorder,s'accorder
I,accoster,s'accoster
I,accoter,s'accoter
I,accouder,s'accouder
I,accoupler,s'accoupler
I,accoutrer,s'accoutrer
I,accoutumer,s'accoutumer
I,accréditer,s'accréditer
I,accrocher,s'accrocher
I,accumuler,s'accumuler
I,accuser,s'accuser
I,acheter,s'acheter
I,achever,s'achever
I,acharner,s'acharner
I,acheminer,s'acheminer
I,achopper,s'achopper
I,acidifier,s'acidifier
I,acoquiner,s'acoquiner
I,acquitter,s'acquitter
I,activer,s'activer
I,adapter,s'adapter
I,additionner,s'additionner
I,adjuger,s'adjuger
I,administrer,s'administrer
I,admirer,s'admirer
I,adoniser,s'adoniser
I,adonner,s'adonner
I,adorer,s'adorer
I,adosser,s'adosser
I,adresser,s'adresser
I,affairer,s'affairer
I,affaisser,s'affaisser
I,affaler,s'affaler
I,affecter,s'affecter
I,afficher,s'afficher
I,affilier,s'affilier
I,affiner,s'affiner
I,affirmer,s'affirmer
I,affliger,s'affliger
I,affoler,s'affoler
I,affronter,s'affronter
I,affubler,s'affubler
I,africaniser,s'africaniser
I,agacer,s'agacer
I,agencer,s'agencer
I,agenouiller,s'agenouiller
I,agglomérer,s'agglomérer
I,agglutiner,s'agglutiner
I,aggraver,s'aggraver
I,agiter,s'agiter
I,agréger,s'agréger
I,agriffer,s'agriffer
I,agripper,s'agripper
I,aheurter,s'aheurter
I,aider,s'aider
I,aiguiser,s'aiguiser
I,aimer,s'aimer
I,aimanter,s'aimanter
I,ajouter,s'ajouter
I,ajuster,s'ajuster
I,alarmer,s'alarmer
I,alcooliser,s'alcooliser
I,aliéner,s'aliéner
I,aligner,s'aligner
I,alimenter,s'alimenter
I,aliter,s'aliter
I,allier,s'allier
I,allonger,s'allonger
I,allumer,s'allumer
I,altérer,s'altérer
I,amener,s'amener
I,amalgamer,s'amalgamer
I,amariner,s'amariner
I,amarrer,s'amarrer
I,amasser,s'amasser
I,amateloter,s'amateloter
I,amatelotter,s'amatelotter
I,ambifier,s'ambifier
I,améliorer,s'améliorer
I,amender,s'amender
I,amenuiser,s'amenuiser
I,américaniser,s'américaniser
I,ameuter,s'ameuter
I,amocher,s'amocher
I,amonceler,s'amonceler
I,amorcer,s'amorcer
I,amouracher,s'amouracher
I,amplifier,s'amplifier
I,amuser,s'amuser
I,analyser,s'analyser
I,anastomoser,s'anastomoser
I,ancrer,s'ancrer
I,angliciser,s'angliciser
I,angoisser,s'angoisser
I,animer,s'animer
I,ankyloser,s'ankyloser
I,annexer,s'annexer
I,annihiler,s'annihiler
I,annoncer,s'annoncer
I,annuler,s'annuler
I,anuiter,s'anuiter
I,apaiser,s'apaiser
I,apetisser,s'apetisser
I,apitoyer,s'apitoyer
I,aplomber,s'aplomber
I,apostropher,s'apostropher
I,appeler,s'appeler
