absenter,s'absenter
abstenir,s'abstenir
accouder,s'accouder
accroupir,s'accroupir
acharner,s'acharner
acoquiner,s'acoquiner
adonner,s'adonner
affairer,s'affairer
agenouiller,s'agenouiller
apparenter,s'apparenter
approprier,s'approprier
arroger,s'arroger
assagir,s'assagir
assoupir,s'assoupir
avachir,s'avachir
aventurer,s'aventurer
avérer,s'avérer
blottir,se blottir
cabrer,se cabrer
chamailler,se chamailler
débrailler,se débrailler
dédire,se dédire
déjuger,se déjuger
démener,se démener
démoder,se démoder
départir,se départir
dépatouiller,se dépatouiller
désaccorder,se désaccorder
désister,se désister
dévergonder,se dévergonder
ébahir,s'ébahir
ébattre,s'ébattre
ébrouer,s'ébrouer
écrier,s'écrier
écrouler,s'écrouler
efforcer,s'efforcer
égailler,s'égailler
égosiller,s'égosiller
élancer,s'élancer
embusquer,s'embusquer
empresser,s'empresser
emparer,s'emparer
en aller,s'en aller
enfuir,s'enfuir
enorgueillir,s'enorgueillir
entre-déchirer,s'entre-déchirer
entre-dévorer,s'entre-dévorer
entr'égorger,s'entr'égorger
ensuivre,s'ensuivre
enticher,s'enticher
entraider,s'entraider
entremettre,s'entremettre
entre-tuer,s'entre-tuer
envoler,s'envoler
époumoner,s'époumoner
éprendre,s'éprendre
esclaffer,s'esclaffer
escrimer,s'escrimer
évader,s'évader
évanouir,s'évanouir
évaporer,s'évaporer
évertuer,s'évertuer
exclamer,s'exclamer
extasier,s'extasier
fier,se fier
gargariser,se gargariser
gausser,se gausser
immiscer,s'immiscer
ingénier,s'ingénier
insurger,s'insurger
lamenter,se lamenter
méfier,se méfier
méprendre,se méprendre
morfondre,se morfondre
mutiner,se mutiner
pâmer,se pâmer
pavaner,se pavaner
prélasser,se prélasser
prévaloir,se prévaloir
prosterner,se prosterner
raviser,se raviser
rebeller,se rebeller
rebiffer,se rebiffer
recroqueviller,se recroqueviller
rengorger,se rengorger
repentir,se repentir
récrier,se récrier
soucier,se soucier
souvenir,se souvenir
suicider,se suicider
targuer,se targuer
tapir,se tapir
trémousser,se trémousser
vautrer,se vautrer
aérer,s'aérer
abaisser,s'abaisser
abandonner,s'abandonner
abcéder,s'abcéder
abîmer,s'abîmer
ablater,s'ablater
abonner,s'abonner
aborder,s'aborder
aboucher,s'aboucher
abouler,s'abouler
abréger,s'abréger
abraser,s'abraser
abreuver,s'abreuver
abriter,s'abriter
absenter,s'absenter
absorber,s'absorber
abuser,s'abuser
acagnarder,s'acagnarder
accagnarder,s'accagnarder
accélérer,s'accélérer
accentuer,s'accentuer
accepter,s'accepter
acclimater,s'acclimater
accointer,s'accointer
accoler,s'accoler
accommoder,s'accommoder
accompagner,s'accompagner
accorder,s'accorder
accoster,s'accoster
accoter,s'accoter
accouder,s'accouder
