,Несуществующая форма,Возвратная форма,,
a,absenter,s'absenter,en,
a,abstenir,s'abstenir,en,
a,accouder,s'accouder,,
a,accroupir,s'accroupir,,
a,acharner,s'acharner,,
a,acoquiner,s'acoquiner,,
a,adonner,s'adonner,,
a,affairer,s'affairer,,
a,agenouiller,s'agenouiller,,
a,apparenter,s'apparenter,,
a,approprier,s'approprier,,
a,arroger,s'arroger,,
a,assagir,s'assagir,,
a,assoupir,s'assoupir,,
a,avachir,s'avachir,,
a,aventurer,s'aventurer,,
a,avérer,s'avérer,,
b,blottir,se blottir,,transitif
c,cabrer,se cabrer,,
c,chamailler,se chamailler,,
d,débrailler,se débrailler,,
d,dédire,se dédire,en,
d,déjuger,se déjuger,,
d,démener,se démener,,
d,démoder,se démoder,,
d,départir,se départir,en,
d,dépatouiller,se dépatouiller,en,
d,désaccorder,se désaccorder,,transitif
d,désister,se désister,en,
d,dévergonder,se dévergonder,,
e,ébahir,s'ébahir,en,
e,ébattre,s'ébattre,,
e,ébrouer,s'ébrouer,,
e,écrier,s'écrier,,
e,écrouler,s'écrouler,,
e,efforcer,s'efforcer,,
e,égailler,s'égailler,,
e,égosiller,s'égosiller,,
e,élancer,s'élancer,,
e,embusquer,s'embusquer,,
e,empresser,s'empresser,,
e,emparer,s'emparer,en,
e,en aller,s'en aller,en,
e,enfuir,s'enfuir,en,
e,enorgueillir,s'enorgueillir,en,
e,entre-déchirer,s'entre-déchirer,,
e,entre-dévorer,s'entre-dévorer,,
e,entr'égorger,s'entr'égorger,,
e,ensuivre,s'ensuivre,,
e,enticher,s'enticher,en,
e,entraider,s'entraider,,
e,entremettre,s'entremettre,,
e,entre-tuer,s'entre-tuer,,
e,envoler,s'envoler,en ,
e,époumoner,s'époumoner,,
e,éprendre,s'éprendre,en,
e,esclaffer,s'esclaffer,,
e,escrimer,s'escrimer,,
e,évader,s'évader,en,
e,évanouir,s'évanouir,en,
e,évaporer,s'évaporer,en,
e,évertuer,s'évertuer,,
e,exclamer,s'exclamer,,
e,extasier,s'extasier,en,
f,fier,se fier,,
g,gargariser,se gargariser,en,
g,gausser,se gausser,en,
i,immiscer,s'immiscer,,
i,ingénier,s'ingénier,,
i,insurger,s'insurger,,
l,lamenter,se lamenter,en,
m,méfier,se méfier,en,
m,méprendre,se méprendre,,
m,morfondre,se morfondre,,
m,mutiner,se mutiner,,
p,pâmer,se pâmer,,
p,pavaner,se pavaner,,
p,prélasser,se prélasser,,
p,prévaloir,se prévaloir,en,
p,prosterner,se prosterner,,
r,raviser,se raviser,,
r,rebeller,se rebeller,,
r,rebiffer,se rebiffer,,
r,recroqueviller,se recroqueviller,,
r,rengorger,se rengorger,,
r,repentir,se repentir,en,
r,récrier,se récrier,,
s,soucier,se soucier,en,
s,souvenir,se souvenir,en,
s,suicider,se suicider,,
t,targuer,se targuer,en,
t,tapir,se tapir,,
t,trémousser,se trémousser,,
v,vautrer,se vautrer,,
