Lesson,N,HTML,TITLE
1,1,"<iframe src=""https://learningapps.org/watch?v=py998rbvn19"" style=""border:0px;width:100%;height:264px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
1,2,"<iframe src=""https://learningapps.org/watch?v=pds5z9tc519"" style=""border:0px;width:100%;height:650px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
1,3,"<iframe src=""https://learningapps.org/watch?v=pr41mjtjn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
1,4,"<iframe src=""https://learningapps.org/watch?v=pvdypsxva19"" style=""border:0px;width:100%;height:264px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
1,5,"<iframe src=""https://learningapps.org/watch?v=p4iui8y7t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
2,1,"<iframe src=""https://learningapps.org/watch?v=pgvy2bbfa19"" style=""border:0px;width:100%;height:415px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Правила чтения
2,2,"<iframe src=""https://learningapps.org/watch?v=ph03tcauj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
2,3,"<iframe src=""https://learningapps.org/watch?v=pzu95mjyt19"" style=""border:0px;width:100%;height:502px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
2,4,"<iframe src=""https://learningapps.org/watch?v=ph3ax31i319"" style=""border:0px;width:100%;height:373px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
2,5,"<iframe src=""https://learningapps.org/watch?v=p90p3ux7519"" style=""border:0px;width:100%;height:613px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
3,1,"<iframe src=""https://learningapps.org/watch?v=p9jjwfv0c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Правила чтения
3,2,"<iframe src=""https://learningapps.org/watch?v=p1f42kc2t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Составьте предложение из cnoв
3,3,"<iframe src=""https://learningapps.org/watch?v=pwv5krqvn19"" style=""border:0px;width:100%;height:363px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Составьте предложение из cnoв
3,4,"<iframe src=""https://learningapps.org/watch?v=pt65y04dt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Цифры
3,5,"<iframe src=""https://learningapps.org/watch?v=pqk4192h219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,1,"<iframe src=""https://learningapps.org/watch?v=p6zuq52ak19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Правила чтения
4,2,"<iframe src=""https://learningapps.org/watch?v=pds043wzt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,3,"<iframe src=""https://learningapps.org/watch?v=p2e2cq6tk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,4,"<iframe src=""https://learningapps.org/watch?v=piy0fesea19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,5,"<iframe src=""https://learningapps.org/watch?v=p9vjsjr1k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,6,"<iframe src=""https://learningapps.org/watch?v=p5cfm0mnn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,7,"<iframe src=""https://learningapps.org/watch?v=p3iatx42c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
4,8,"<iframe src=""https://learningapps.org/watch?v=pyitywab219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
5,1,"<iframe src=""https://learningapps.org/watch?v=p5q167xpn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
5,2,"<iframe src=""https://learningapps.org/watch?v=pfk4yt4n319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
5,3,"<iframe src=""https://learningapps.org/watch?v=p7dqrwj8j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
5,4,"<iframe src=""https://learningapps.org/watch?v=p0hx3u21319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
5,5,"<iframe src=""https://learningapps.org/watch?v=p0vzd66mk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Количественные числительные
5,6,"<iframe src=""https://learningapps.org/watch?v=p9fqamxat19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Порядковые числительные
5,7,"<iframe src=""https://learningapps.org/watch?v=pdmyrc9m519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes
6,1,"<iframe src=""https://learningapps.org/watch?v=pob3io1an19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
6,2,"<iframe src=""https://learningapps.org/watch?v=pmqz0ko9k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Ça va
6,3,"<iframe src=""https://learningapps.org/watch?v=pby9synqa19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",S'appeler
6,4,"<iframe src=""https://learningapps.org/watch?v=pdptjyepn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être
6,5,"<iframe src=""https://learningapps.org/watch?v=ptef8w4gn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",C'est/ce sont
6,6,"<iframe src=""https://learningapps.org/watch?v=pjximz39k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
6,7,"<iframe src=""https://learningapps.org/watch?v=pyy20n48319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Articles
6,8,"<iframe src=""https://learningapps.org/watch?v=ps37enui519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Jours de la semaine
6,9,"<iframe src=""https://learningapps.org/watch?v=psbhjzkd519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dates
6,10,"<iframe src=""https://learningapps.org/watch?v=p7uojigm319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
7,1,"<iframe src=""https://learningapps.org/watch?v=pwo9jum1519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
7,2,"<iframe src=""https://learningapps.org/watch?v=ppkb1subn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être
7,3,"<iframe src=""https://learningapps.org/watch?v=p0qjh1cwc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
7,4,"<iframe src=""https://learningapps.org/watch?v=ph0a40s7t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Iangues
7,5,"<iframe src=""https://learningapps.org/watch?v=pjay0t7gt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Noms des pays
7,6,"<iframe src=""https://learningapps.org/watch?v=pzka3un2j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Prepositions et pays
7,7,"<iframe src=""https://learningapps.org/watch?v=pxi0mpky219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Place de I'adjectif
8,1,"<iframe src=""https://learningapps.org/watch?v=p0inx5mdt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les jours de la semaine
8,2,"<iframe src=""https://learningapps.org/watch?v=pxfosmmya19"" style=""border:0px;width:100%;height:1350px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les mois de l'année
8,3,"<iframe src=""https://learningapps.org/watch?v=pbhun8s1k19"" style=""border:0px;width:100%;height:400px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mois/chiffres
8,4,"<iframe src=""https://learningapps.org/watch?v=p9v1fw9mc19"" style=""border:0px;width:100%;height:600px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Comment/comme
8,5,"<iframe src=""https://learningapps.org/watch?v=p4mji2a7j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être
8,6,"<iframe src=""https://learningapps.org/watch?v=pccp91imn19"" style=""border:0px;width:100%;height:450px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
8,7,"<iframe src=""https://learningapps.org/watch?v=p9q92v6wn19"" style=""border:0px;width:100%;height:400px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Géographie
