Lesson,N,HTML,TITLE
29,2,"<iframe src=""https://learningapps.org/watch?v=pqmw5j2jk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les articles
29,1,"<iframe src=""https://learningapps.org/watch?v=pp3uwxo7319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Conjugaison des verbes au présent
29,3,"<iframe src=""https://learningapps.org/watch?v=pcgeae3ja19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Répondez aux questions selon le modèle.
29,4,"<iframe src=""https://learningapps.org/watch?v=pne62hsnk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Répondez aux questions selon le modèle.
29,5,"<iframe src=""https://learningapps.org/watch?v=pd4ie8n5t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",La négation
29,6,"<iframe src=""https://learningapps.org/watch?v=p829zdxjn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les préposition de lieu
30,1,"<iframe src=""https://learningapps.org/watch?v=p2r444nkn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Test culturel
30,2,"<iframe src=""https://learningapps.org/watch?v=pmbgpb2sa19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Situations d'achat
30,3,"<iframe src=""https://learningapps.org/watch?v=pbqaeg62n19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Masculin et féminin
31,3,"<iframe src=""https://learningapps.org/watch?v=pfbyqfiwn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez les phrases
31,2,"<iframe src=""https://learningapps.org/watch?v=p424p6eo519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez les phrases au passé composé
31,1,"<iframe src=""https://learningapps.org/watch?v=p3yuof1kn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Faites plusiers phrases
32,1,"<iframe src=""https://learningapps.org/watch?v=p89wykcz519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez les phrases
32,2,"<iframe src=""https://learningapps.org/watch?v=ptjprnmf319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Transformez les phrases
32,3,"<iframe src=""https://learningapps.org/watch?v=pjd542ayk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé
33,2,"<iframe src=""https://learningapps.org/watch?v=p96iifj6a19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Faites des phrases
33,3,"<iframe src=""https://learningapps.org/watch?v=prp3ephi519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé
33,4,"<iframe src=""https://learningapps.org/watch?v=pvm4bdrw219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Complétez les phrases
33,5,"<iframe src=""https://learningapps.org/watch?v=p8ke8k8gk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé.
33,6,"<iframe src=""https://learningapps.org/watch?v=p07y2dz1c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé.
33,7,"<iframe src=""https://learningapps.org/watch?v=pkr1mh9t319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé.
33,8,"<iframe src=""https://learningapps.org/watch?v=phodqcg4c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé.
33,9,"<iframe src=""https://learningapps.org/watch?v=p5t2y3e2519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé
33,10,"<iframe src=""https://learningapps.org/watch?v=pb6qviuuj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Faites des phrases
33,1,"<iframe src=""https://learningapps.org/watch?v=pj5bnbxo319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez au passé composé.
34,1,"<iframe src=""https://learningapps.org/watch?v=p3bnkyy6t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Répondez
34,2,"<iframe src=""https://learningapps.org/watch?v=prb4wtqen19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Racontez les évènements
34,3,"<iframe src=""https://learningapps.org/watch?v=p0ybktyac19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Complétez le texte
36,1,"<iframe src=""https://learningapps.org/watch?v=pdpgrxs0a19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez les verbes au passé composé
36,2,"<iframe src=""https://learningapps.org/watch?v=p2cfs0txc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez les verbes au passé composé
36,3,"<iframe src=""https://learningapps.org/watch?v=p88biw5i319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mettez les verbes au passé composé
